id,N,kf,rho_length_density
CC00063AN06_15102,735,33.64625850340136,-0.2816331704965296
CC00063BN06_15104,733,37.19781718963165,-0.3265005053314064
CC00065XX08_18600,735,37.072108843537414,-0.2525437273988202
CC00066XX09_19200,734,35.48773841961853,-0.2568865774183371
CC00067XX10_20200,732,39.23497267759563,-0.31114382937103974
CC00068XX11_20701,734,38.38692098092643,-0.20824956811543247
CC00069XX12_26300,734,33.55313351498638,-0.22434349300626003
CC00070XX05_26700,732,35.84699453551912,-0.23599968946617508
CC00071XX06_27000,734,35.67029972752044,-0.2815803223004087
CC00072XX07_27600,735,30.900680272108843,-0.2690479614236398
CC00073XX08_27800,734,34.38692098092643,-0.25138644586566045
CC00074XX09_28000,732,31.792349726775956,-0.2627647105672908
CC00075XX10_28400,734,33.20708446866485,-0.2526708567537044
CC00076XX11_28700,728,33.464285714285715,-0.2810473481437026
CC00078XX13_29900,734,37.49591280653951,-0.258019423315316
CC00079XX14_30000,734,34.99455040871935,-0.20247204282502404
CC00080XX07_30300,736,36.77445652173913,-0.24608744982832534
CC00082XX09_30700,735,35.265306122448976,-0.22679583214471982
CC00083XX10_30900,736,32.98641304347826,-0.21782107262682285
CC00084XX11_31201,735,30.827210884353743,-0.229548837268584
CC00086XX13_31500,731,32.5827633378933,-0.17263993232038502
CC00087AN14_31800,737,34.526458616010856,-0.27839243073676384
CC00087AN14_38800,735,34.60408163265306,-0.257238764838816
CC00087BN14_32100,733,37.268758526603,-0.2768740844452738
CC00088XX15_31801,734,36.73297002724796,-0.2650620533474551
CC00089XX16_32101,734,33.49318801089918,-0.23007096138850638
CC00091XX10_32300,735,33.68707482993197,-0.22778076371557932
CC00094AN13_33500,735,36.77278911564626,-0.22882226573860306
CC00094BN13_33301,733,35.41609822646657,-0.23558498779418052
CC00095XX14_33501,733,38.07912687585266,-0.250289036740303
CC00096XX15_33700,732,34.33606557377049,-0.23827007967146518
CC00097XX16_33701,735,32.28027210884354,-0.1879010313568911
CC00098AN17_30500,732,32.03005464480874,-0.28251197448991144
CC00098AN17_33702,735,38.08163265306123,-0.2671375925387567
CC00098BN17_33900,732,29.975409836065573,-0.23170477897096087
CC00099AN18_34200,732,31.437158469945356,-0.28178133447079373
CC00099BN18_34201,735,35.077551020408166,-0.26830752609195074
CC00100XX01_35000,734,31.55040871934605,-0.23454135657798433
